Animal ID	year	species	common name	species abbrev	sex	age	age_bin	sample_date	PDV_titer	PDV_result
11-031	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/19/2011	 <8	neg
11-032	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/26/2011	16	pos
11-033	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/26/2011	 <8	neg
11-034	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/26/2011	16	pos
11-035	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/26/2011	 <8	neg
11-036	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/26/2011	8	pos
11-037	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/26/2011	 <8	neg
11-038	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/26/2011	8	pos
11-039	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/26/2011	 <8	neg
11-040	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/2/2011	 <8	neg
11-041	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/2/2011	 <8	neg
11-042	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/2/2011	 <8	neg
11-043	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/2/2011	 <8	neg
11-044	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/2/2011	16	pos
11-045	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/2/2011	 <8	neg
11-046	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/2/2011	8	pos
11-047	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/9/2011	32	pos
11-048	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/21/2011	8	pos
11-049	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/9/2011	 <8	neg
11-050	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/21/2011	8	pos
11-051	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/9/2011	 <8	neg
11-052	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/24/2011	32	pos
11-053	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/24/2011	8	pos
11-054	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/24/2011	16	pos
11-055	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/24/2011	64	pos
11-057	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/1/2011	8	pos
11-058	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/1/2011	8	pos
11-059	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/1/2011	 <8	neg
11-060	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/1/2011	 <8	neg
11-061	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/1/2011	 <8	neg
11-062	2011	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	7/1/2011	64	pos
11-063	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/1/2011	 <8	neg
11-064	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/8/2011	16	pos
11-065	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/8/2011	64	pos
11-066	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/8/2011	 <8	neg
11-067	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/8/2011	32	pos
11-068	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/8/2011	8	pos
11-069	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/21/2011	8	pos
11-006-NOAA	2011	Phoca vitulina	Harbor seal	Pv	Female	Adult	AFY	4/8/2011	 <8	neg
11-071	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/21/2011	32	pos
11-072	2011	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	7/21/2011	32	pos
11-073	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/21/2011	8	pos
11-074	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/21/2011	16	pos
11-075	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/21/2011	8	pos
11-076	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/21/2011	 <8	neg
11-077	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/21/2011	32	pos
11-078	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	8/4/2011	16	pos
11-079	2011	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	8/4/2011	8	pos
11-080	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/4/2011	8	pos
11-081	2012	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	2/8/2012	8	pos
13-143-NOAA	2013	Halichoerus grypus	Grey seal	Hg	Male	Adult	AFY	6/13/2013	 <8	neg
13-145-NOAA	2013	Halichoerus grypus	Grey seal	Hg	Male	Adult	AFY	6/13/2013	 <8	neg
13-147-NOAA	2013	Halichoerus grypus	Grey seal	Hg	Female	Adult	AFY	6/13/2013	 <8	neg
13-148-NOAA	2013	Halichoerus grypus	Grey seal	Hg	Female	Adult	AFY	6/13/2013	 <8	neg
13-149-NOAA	2013	Halichoerus grypus	Grey seal	Hg	Male	Adult	AFY	6/16/2013	 <8	neg
13-150-NOAA	2013	Halichoerus grypus	Grey seal	Hg	Female	Adult	AFY	6/16/2013	 <8	neg
13-155-NOAA	2013	Halichoerus grypus	Grey seal	Hg	Female	Adult	AFY	6/17/2013	 <8	neg
12-029-NOAA	2012	Phoca vitulina	Harbor seal	Pv	Male	Adult	AFY	3/24/2012	 <8	neg
12-001	2012	Halichoerus grypus	Grey seal	Hg	Female	pup	FY	2/8/2012	 <8	neg
12-005	2012	Halichoerus grypus	Grey seal	Hg	Male	pup	FY	2/28/2012	 <8	neg
12-011	2012	Halichoerus grypus	Grey seal	Hg	Male	pup	FY	4/17/2012	 <8	neg
12-012	2012	Halichoerus grypus	Grey seal	Hg	Male	pup	FY	4/17/2012	 <8	neg
12-019	2012	Halichoerus grypus	Grey seal	Hg	Unknown	pup	FY	5/16/2012	 <8	neg
